Round,Company,Role Title,ATS,Location,Comp,Status,Link,Notes,
,Mastercard,"Manager, Forward-Deployed AI Engineer — AI Mobilization & Transformation",Company site via Indeed,"Harrison, NY","$161,000 - $266,000",To Apply,https://www.indeed.com/viewjob?jk=3f28603ca5886f93,,
,JPMorganChase,AI/LLM Product Manager - Senior Associate,Company site via Indeed,"New York, NY","$128,250 - $195,000",To Apply,https://www.indeed.com/viewjob?jk=6bdc7e7b377da662,,
,Thomson Reuters,"Engineering Manager, Materia AI",Workday,"Brooklyn, NY (Hybrid)","$94,900 - $203,000",To Apply,https://www.indeed.com/viewjob?jk=708a4db7faed8f79,,
,Capital One,"Manager, Product Manager - Capital One Travel",Company site via Indeed,"New York, NY","$179,700 - $205,100",To Apply,https://www.indeed.com/viewjob?jk=1b2294d2b183fa1b,,
,Realtor.com,"Lead Product Manager, Partner Marketplace & Data Platforms",Company site via Indeed,"Austin, TX",Not listed,To Apply,https://www.indeed.com/viewjob?jk=1c4140c7b9545460,,
,Realtor.com / News Corp,"Lead Product Manager, Partner Marketplace & Data Platforms",Company site via Indeed,"Austin, TX",Not listed,To Apply,https://www.indeed.com/viewjob?jk=d777b2250504cd57,,
,Lucasfilm,Sr Product Manager (Customer Solutions & Integration – Skywalker Sound),Company site via Indeed,"Los Angeles, CA (Remote)","$117,500 - $157,500",To Apply,https://www.indeed.com/viewjob?jk=b14fa44ef3f3f48e,,
,Optum,Senior Manager of Technical Project and Program Management - Remote,Company site via Indeed,"Remote (listed Austin, TX)","$112,700 - $193,200",To Apply,https://www.indeed.com/viewjob?jk=5bbd92f47001cc45,,
Applied,Cisco,"Technical Product Manager, Cisco IQ Platform (IAM)",Company site via Indeed,"San Jose, CA (Hybrid)","$134,300 - $255,100",To Apply,https://www.indeed.com/viewjob?jk=2992f2b2c43258ae,,
,Snap Inc.,"Product Manager, Sponsored AR",Company site via Indeed,"Palo Alto, CA (Hybrid)","$178,000 - $313,000",To Apply,https://www.indeed.com/viewjob?jk=be1f4af47725a454,,
applied,DocuSign,Senior Product Manager,Company site via Indeed,"Chicago, IL (Hybrid)","$140,100 - $206,775",To Apply,https://www.indeed.com/viewjob?jk=4c7095423658c8b1,,
,RealPage,"Senior Director, Internal AI Product Owner",Company site via Indeed,"Richardson, TX (Hybrid)","$157,600 - $268,400",To Apply,https://www.indeed.com/viewjob?jk=2a2191dfb2b377a9,,
,Dow Jones / News Corp,Senior Principal Product Manager - Data Platform,Company site via Indeed,"New York, NY (Hybrid)","$175,000 - $215,000",To Apply,https://www.indeed.com/viewjob?jk=ab9ecb1138f45690,,
,Qualtrics,"Principal Product Manager, Core AI Platform",Company site via Indeed,"Seattle, WA (Hybrid)","$199,500 - $262,000",To Apply,https://www.indeed.com/viewjob?jk=fbee39704c893c23,,
,Ruxlo / PropertyPilot,Head of Product,Indeed,"Manasquan, NJ (Hybrid)",Not listed,To Apply,https://www.indeed.com/viewjob?jk=86056f048ca111cd,,
,Dow Jones / News Corp,Principal Product Manager - Subscriber Activation & Retention,Company site via Indeed,"New York, NY (Hybrid)","$150,000 - $185,000",To Apply,https://www.indeed.com/viewjob?jk=4c9deb8b649873ab,,
,CorGTA,AI Tech Lead – Wealth & Asset Management,Indeed,"Newark, NJ (Hybrid)","$180,000 - $210,000",To Apply,https://www.indeed.com/viewjob?jk=85538ac7d84fb0d8,,
,Bombas,Lead Digital Product Manager – Attract & Discover,Company site via Indeed,"New York, NY (On-site/HQ)","$160,000 - $175,000",To Apply,https://www.indeed.com/viewjob?jk=ed9c8e85118c6ade,,
,SymphonyAI,"VP, AI Value Delivery - Retail (Remote)",LinkedIn,"Remote (listing based in New York, NY)",Not listed,To Apply,https://www.linkedin.com/jobs/view/4390355858/,,
,Wealth.com,"Senior Product Designer, AI-Native Product",Ashby,"New York, NY (Hybrid; 3 days in office)","$190,000 - $200,000",To Apply,https://jobs.ashbyhq.com/wealth-com/c1c42030-5a88-49bc-aa4e-137d793763bb/application,,
,Walmart,"(USA) Principal, Product Manager",Phenom,"Hoboken, NJ / Sunnyvale, CA","Hoboken: $132,000 - $264,000; Sunnyvale: $143,000 - $286,000",To Apply,https://careers.walmart.com/us/en/jobs/R-2546056,,
,"InVitro Cell Research, LLC",AI & LLM Applications Scientist,LinkedIn,"Englewood, NJ","$155,000 - $215,000 + annual bonus",To Apply,https://www.linkedin.com/jobs/view/4437272591/,,
,CoreWeave / Weights & Biases,"Engineering Manager, Launch & Sandboxes",,"Livingston, NJ / New York, NY","$165,000 to $242,000",,https://coreweave.com/careers/job?board=weights_and_biases&gh_jid=4667333006,,
,Primary,Forward Deployed Product Manager - Finance,LinkedIn,"New York, NY (On-site)",,To Apply,https://www.linkedin.com/jobs/view/4437281542/,,
,Baseten,Applied AI Inference Engineer,Ashby,"New York, NY / San Francisco, CA","$165,000 - $330,000",To Apply,https://jobs.ashbyhq.com/baseten/90e9ff4e-1225-4b1b-b0b4-2362e36d9cfa/application,,
,World Wide Technology,AI Services Consultant - Global,ADP Recruiting,Multiple U.S. locations,"$170,000 - $190,000",To Apply,https://myjobs.adp.com/wwtexternalcareersite/cx/job-details?reqId=5001197483806,,
,LangChain,"Product Manager, LangSmith",Ashby,"New York, NY / Boston, MA / San Francisco, CA","$180,000 - $215,000",To Apply,https://jobs.ashbyhq.com/langchain/27af5f96-b287-4bcc-8679-f96686dc7c8d/application,,
,NVIDIA,Principal Product Manager,Workday,"Santa Clara, CA","240,000 USD - 379,500",,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Principal-Product-Manager_JR2017591,,
,State Street,AI Product Readiness Program Manager - VP,Workday,"Burlington, MA","$110,000 - $188,750",To Apply,https://statestreet.wd1.myworkdayjobs.com/Global/job/Burlington-Massachusetts/AI-Product-Readiness-Program-Manager---VP_R-793756,,
,PwC,Strategy& Fit For Growth AI Strategy Manager,Workday,"Multiple U.S. locations (including New York, NY)","$99,000 - $232,000",To Apply,https://jobs.us.pwc.com/job/-/-/932/90424145648,,
,Databricks,Sr. Product Manager - Technical,Greenhouse,"New York City, NY","$156,600 - $215,250",To Apply,https://www.databricks.com/company/careers/product/sr-product-manager---technical-8387085002,,
,Selective Insurance,Forward Deployed AI Leader - Excess & Surplus (Hybrid),Phenom,"Short Hills, NJ (Hybrid)","$163,000 - $220,000",To Apply,https://jobs.selective.com/jobs/5488?lang=en-us,,
,Google,"Product Manager, Google Docs",Google Careers,"New York, NY","$192,000 - $279,000 + 20% bonus target + equity",To Apply,https://www.google.com/about/careers/applications/jobs/results/80109378945852102-product-manager/,,
,Bloomberg,Technical Product Manager - AI Ready Data,Avature,"New York, NY","$140,000 - $295,000",To Apply,https://bloomberg.avature.net/careers/JobDetail/Technical-Product-Manager-AI-Ready-Data/17713,,
,Goldman Sachs,"Asset & Wealth Management, Asset Management, Digital Advocacy",,"New York, NY",$85000 - $160000,To Apply,https://hdpc.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/LateralHiring/job/165846?mode=job,,
,Humana,Lead AI Product Manager,Phenom,"New York, NY","$151,600 - $208,400",To Apply,https://careers.humana.com/us/en/job/R-414064/Lead-AI-Product-Manager,,
